timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673285234241,590,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,1,1,null,0,7,339
1673285234243,590,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1942,171,1,1,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json?catalogue=false%20,590,0,339
1673285235228,328,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3229,171,2,2,null,0,4,142
1673285235228,328,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3229,171,2,2,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json?catalogue=false%20,327,0,142
1673285236227,392,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 1",jp@gc - Ultimate Thread Group 1-3,,false,,786,171,3,3,null,0,5,167
1673285236228,392,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,false,"Test failed: text expected to contain /""CanRelist"":true/",786,171,3,3,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json?catalogue=false%20,392,0,167
1673285237226,369,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3231,171,4,4,null,0,5,160
1673285237227,369,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3231,171,4,4,https://api.tmsandbox.co.nz/v1/Categories/6333/Details.json?catalogue=false%20,368,0,160
1673285238227,391,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,5,169
1673285238227,391,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json?catalogue=false%20,389,0,169
1673285234838,366,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,3233,171,5,5,null,0,5407,167
1673285240243,366,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,3233,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json?catalogue=false%20,366,0,167
1673285235560,504,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,3245,171,5,5,null,0,11681,146
1673285247230,504,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,3245,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json?catalogue=false%20,504,0,146
1673285236625,370,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,3225,171,5,5,null,0,17606,170
1673285254230,370,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3225,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json?catalogue=false%20,370,0,170
1673285237600,430,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,3220,171,5,5,null,0,23631,174
1673285261230,430,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6334/Details.json?catalogue=false%20,430,0,174
1673285238623,416,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,3220,171,5,5,null,0,29606,159
1673285268228,416,GET /v1/Categories/CategoryID/Details.json?catalogue=false ,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3220,171,5,5,https://api.tmsandbox.co.nz/v1/Categories/6336/Details.json?catalogue=false%20,416,0,159
1673285240611,399,TC1_CategoryDetails,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1942,171,5,5,null,0,29633,160
